"","Month","Year","Gag","Red Grouper","RED SNAPPER","Tot"
"83",4,2010,1,1,0,30
"84",4,2011,0,1,0,30
"85",4,2012,0,1,0,30
"86",4,2013,0,1,0,30
"87",4,2014,0,1,0,30
"88",4,2015,0,1,0,30
"89",4,2016,0,1,0,30
"90",4,2017,0,1,0,30
"91",4,2018,0,1,0,30
"92",4,2019,0,1,0,30
"93",4,2020,0,1,0,30
"94",4,2021,0,1,0,30
"95",4,2022,0,1,0,30
"96",4,2023,0,1,0,30
"97",5,2000,1,1,1,31
"98",5,2001,1,1,1,31
"99",5,2002,1,1,1,31
"100",5,2003,1,1,1,31
"101",5,2004,1,1,1,31
"102",5,2005,1,1,1,31
"103",5,2006,1,1,1,31
"104",5,2007,1,1,1,31
"105",5,2008,1,1,0,31
"106",5,2009,1,1,0,31
"107",5,2010,1,1,0,31
"108",5,2011,0,1,0,31
"109",5,2012,0,1,0,31
"110",5,2013,0,1,0,31
"111",5,2014,0,1,0.258064516129032,31
"112",5,2015,0,1,0.290322580645161,31
"113",5,2016,0,1,0.0967741935483871,31
"114",5,2017,0,1,0.161290322580645,31
"115",5,2018,0,1,0,31
"116",5,2019,0,1,0,31
"117",5,2020,0,1,0,31
"118",5,2021,0,1,0,31
"119",5,2022,0,1,0,31
"120",5,2023,0,1,0,31
"121",6,2000,1,1,1,30
"122",6,2001,1,1,1,30
"123",6,2002,1,1,1,30
"124",6,2003,1,1,1,30
"125",6,2004,1,1,1,30
"126",6,2005,1,1,1,30
"127",6,2006,1,1,1,30
"128",6,2007,1,1,1,30
"129",6,2008,1,1,0.966666666666667,30
"130",6,2009,1,1,1,30
"131",6,2010,1,1,1,30
"132",6,2011,0,1,1,30
"133",6,2012,0,1,0.966666666666667,30
"134",6,2013,0,1,0.966666666666667,30
"135",6,2014,0,1,1,30
"136",6,2015,0,1,1,30
"137",6,2016,0,1,1,30
"138",6,2017,1,1,0.366666666666667,30
"139",6,2018,1,1,0.666666666666667,30
"140",6,2019,1,1,1,30
"141",6,2020,0.966666666666667,1,0.966666666666667,30
"142",6,2021,1,1,1,30
"143",6,2022,1,1,0.5,30
"144",6,2023,0,1,0.5,30
"145",7,2000,1,1,1,31
"146",7,2001,1,1,1,31
"147",7,2002,1,1,1,31
"148",7,2003,1,1,1,31
"149",7,2004,1,1,1,31
"150",7,2005,1,1,1,31
"151",7,2006,1,1,1,31
"152",7,2007,1,1,1,31
"153",7,2008,1,1,1,31
"154",7,2009,1,1,1,31
"155",7,2010,1,1,0.774193548387097,31
"156",7,2011,0,1,0.612903225806452,31
"157",7,2012,0.967741935483871,1,0.580645161290323,31
"158",7,2013,1,1,0,31
"159",7,2014,1,1,0.451612903225806,31
"160",7,2015,1,1,0.387096774193548,31
"161",7,2016,0.967741935483871,1,0.354838709677419,31
"162",7,2017,1,1,0.451612903225806,31
"163",7,2018,1,1,0.67741935483871,31
"164",7,2019,1,1,0.387096774193548,31
"165",7,2020,1,1,0.838709677419355,31
"166",7,2021,1,1,1,31
"167",7,2022,1,1,1,31
"168",7,2023,0,0.67741935483871,1,31
"169",8,2000,1,1,1,31
"170",8,2001,1,1,1,31
"171",8,2002,1,1,1,31
"172",8,2003,1,1,1,31
"173",8,2004,1,1,1,31
"174",8,2005,1,1,1,31
"175",8,2006,1,1,1,31
"176",8,2007,1,1,1,31
"177",8,2008,1,1,1,31
"178",8,2009,1,1,1,31
"179",8,2010,1,1,0,31
"180",8,2011,0,1,0,31
"181",8,2012,1,1,0,31
"182",8,2013,1,1,0,31
"183",8,2014,1,1,0,31
"184",8,2015,1,1,0,31
"185",8,2016,1,1,0,31
"186",8,2017,1,1,0.387096774193548,31
"187",8,2018,1,1,0,31
"188",8,2019,1,1,0,31
"189",8,2020,1,1,0,31
"190",8,2021,1,1,0.0967741935483871,31
"191",8,2022,1,0.935483870967742,0,31
"192",8,2023,0,0,0,31
"193",9,2000,1,1,1,30
"194",9,2001,1,1,1,30
"195",9,2002,1,1,1,30
"196",9,2003,1,1,1,30
"197",9,2004,1,1,1,30
"198",9,2005,1,1,1,30
"199",9,2006,1,1,1,30
"200",9,2007,1,1,1,30
"201",9,2008,1,1,1,30
"202",9,2009,1,1,1,30
"203",9,2010,1,1,0,30
"204",9,2011,0.533333333333333,1,0,30
"205",9,2012,1,1,0,30
"206",9,2013,1,1,0,30
"207",9,2014,1,1,0,30
"208",9,2015,1,1,0.433333333333333,30
"209",9,2016,1,1,0.4,30
"210",9,2017,1,1,0.1,30
"211",9,2018,1,1,0,30
"212",9,2019,1,1,0,30
"213",9,2020,1,1,0,30
"214",9,2021,1,0.5,0,30
"215",9,2022,1,0,0,30
"216",9,2023,1,0,0.433333333333333,30
"217",10,2000,1,1,1,31
"218",10,2001,1,1,1,31
"219",10,2002,1,1,1,31
"220",10,2003,1,1,1,31
"221",10,2004,1,1,1,31
"222",10,2005,1,1,1,31
"223",10,2006,1,1,1,31
"224",10,2007,1,1,1,31
"225",10,2008,1,1,0.032258064516129,31
"226",10,2009,1,1,0,31
"227",10,2010,1,1,0.483870967741935,31
"228",10,2011,1,1,0,31
"229",10,2012,1,1,0,31
"230",10,2013,1,1,0.483870967741935,31
"231",10,2014,1,0.129032258064516,0,31
"232",10,2015,1,0.258064516129032,0.451612903225806,31
"233",10,2016,1,1,0.483870967741935,31
"234",10,2017,1,1,0,31
"235",10,2018,1,1,0,31
"236",10,2019,1,1,0.193548387096774,31
"237",10,2020,1,1,0.129032258064516,31
"238",10,2021,1,0,0.548387096774194,31
"239",10,2022,1,0,0.193548387096774,31
"240",10,2023,0.612903225806452,0,0.387096774193548,31
"241",11,2000,1,1,0.0666666666666667,30
"242",11,2001,1,1,0.0333333333333333,30
"243",11,2002,1,1,0.0333333333333333,30
"244",11,2003,1,1,0.0333333333333333,30
"245",11,2004,1,1,0.0666666666666667,30
"246",11,2005,0,0,0.0333333333333333,30
"247",11,2006,1,1,0.0333333333333333,30
"248",11,2007,1,1,0.0333333333333333,30
"249",11,2008,1,1,0,30
"250",11,2009,1,1,0,30
"251",11,2010,1,1,0.3,30
"252",11,2011,0.5,1,0,30
"253",11,2012,0.0333333333333333,1,0,30
"254",11,2013,1,1,0,30
"255",11,2014,1,0,0,30
"256",11,2015,1,0,0.0333333333333333,30
"257",11,2016,1,1,0,30
"258",11,2017,1,1,0,30
"259",11,2018,1,1,0,30
"260",11,2019,1,1,0,30
"261",11,2020,1,1,0.0666666666666667,30
"262",11,2021,1,0,0.2,30
"263",11,2022,1,0,0.2,30
"264",11,2023,0,0,0.433333333333333,30
"265",12,2000,1,1,0,31
"266",12,2001,1,1,0,31
"267",12,2002,1,1,0,31
"268",12,2003,1,1,0,31
"269",12,2004,1,1,0,31
"270",12,2005,0,0,0,31
"271",12,2006,1,1,0,31
"272",12,2007,1,1,0,31
"273",12,2008,1,1,0,31
"274",12,2009,1,1,0,31
"275",12,2010,1,1,0,31
"276",12,2011,0,1,0,31
"277",12,2012,0,1,0,31
"278",12,2013,0.0967741935483871,1,0,31
"279",12,2014,0.0967741935483871,0,0,31
"280",12,2015,0.0967741935483871,0,0,31
"281",12,2016,1,1,0,31
"282",12,2017,1,1,0,31
"283",12,2018,1,1,0,31
"284",12,2019,1,1,0,31
"285",12,2020,1,1,0,31
"286",12,2021,1,0,0,31
"287",12,2022,1,0,0,31
"288",12,2023,0,0,0,31
